,University,State Code,Student Health Center,Found by Algorithm,Terms Found,Number of Clicks,URL of page mention was found on,Path,Whether womens/birth control/sexual issues related section present on SHC,Womens Health/Contraception Related Sections,Womens Health/Contraception Related Section Links,Whether Womens Health/Contraception Related Ext Resources,Womens Health/Contraception Related Ext Resources,,,
51,New Mexico State University Main Campus,NM,https://wellness.nmsu.edu/,TRUE,['iud'],1,https://wellness.nmsu.edu/reproductive-sexual-health/,"['https://wellness.nmsu.edu', 'extra link8']",FALSE,[],[],FALSE,[],,,
52,North Carolina State University at Raleigh,NC,https://healthypack.dasa.ncsu.edu/,TRUE,['iud'],2,http://healthypack.dasa.ncsu.edu/care-provided/womens-health/,"['https://healthypack.dasa.ncsu.edu/', 'Care Provided', 'Women’s health']",TRUE,['Women’s health'],['http://healthypack.dasa.ncsu.edu/care-provided/womens-health/'],TRUE,"['https://www.bedsider.org/methods/iud#details_tab', 'https://www.bedsider.org/methods/the_shot#details_tab']",,,
53,Oakland University,MI,https://oakland.edu/ghc/,TRUE,"['depo provera', 'depo', 'provera']",1,https://oakland.edu/ghc/health/index,"['https://oakland.edu/ghc/', 'Health Services']",TRUE,['Gender and Sexuality Center'],['https://oakland.edu/gsc/index'],TRUE,['http://www.plannedparenthood.org/health-topics/stds-hiv-safer-sex-101.htm'],,,
54,Ohio State University Main Campus,OH,https://shs.osu.edu/,TRUE,"['intrauterin devic', 'depo-provera', 'inject contracept', 'contracept implant', 'iud', 'depo provera', 'depo', 'provera']",3,https://shs.osu.edu/services/gynecologic-services/contraceptive-services/,"['https://shs.osu.edu/', '+\nServices', 'Gynecologic Services', 'Contraceptive Services']",TRUE,"['Gynecologic Services', 'Contraceptive Services', 'Gynecological Problems and Other Health Issues', 'Sexually Transmitted Infections', 'Sexual Violence', 'Emergency Contraceptive Pills']","['https://shs.osu.edu/services/gynecologic-services/', 'https://shs.osu.edu/services/gynecologic-services/contraceptive-services/', 'https://shs.osu.edu/services/gynecologic-services/gynecological-problems-and-other-health-issues/', 'https://shs.osu.edu/services/gynecologic-services/sexually-transmitted-infections/', 'https://shs.osu.edu/services/gynecologic-services/sexual-violence/', 'https://shs.osu.edu/services/gynecologic-services/emergency-contraceptive-pills/']",TRUE,['http://www.plannedparenthood.org/'],,,
55,Ohio University Main Campus,OH,https://www.ohio.edu/medicine/community-health/campus-care/,TRUE,['control shot'],1,https://www.ohio.edu/medicine/community-health/campus-care/services.cfm,"['https://www.ohio.edu/medicine/community-health/campus-care/', 'See All Services']",FALSE,[],[],FALSE,[],,,
56,Oregon Institute of Technology,OR,https://www.oit.edu/campus-life/student-health,TRUE,"['depo provera', 'depo', 'provera', 'iud']",1,https://www.oit.edu/campus-life/student-health/medical-clinic,"['https://www.oit.edu/campus-life/student-health', 'Medical Clinic']",FALSE,[],[],FALSE,[],,,
57,Oregon State University,OR,https://studenthealth.oregonstate.edu/,TRUE,['provera'],2,https://studenthealth.oregonstate.edu/clinical-services/oregon-contraceptive-care,"['https://studenthealth.oregonstate.edu/', 'CLINICAL SERVICES', 'Oregon Contraceptive Care']",TRUE,"['HATTIE REDMOND WOMEN AND GENDER CENTER', 'SEXUAL HEALTH', 'Sexual and reproductive health', 'Sexual Assault Nurse Examiner', 'Oregon Contraceptive Care', ""WOMEN'S BUILDING"", 'Safer Sex', 'Sexual Assault Resources', 'Sexual Assault Nurse Examiner (SANE)', 'Contraception']","['https://events.oregonstate.edu/benton_annex_womens_center?utm_campaign=widget&utm_medium=widget&utm_source=Oregon+State+University', 'https://studenthealth.oregonstate.edu/sexual-health-0', 'https://studenthealth.oregonstate.edu/sexualhealth', 'https://studenthealth.oregonstate.edu/sexual-assault-nurse-examiner', 'https://studenthealth.oregonstate.edu/clinical-services/oregon-contraceptive-care', 'https://events.oregonstate.edu/womens_building?utm_campaign=widget&utm_medium=widget&utm_source=Oregon+State+University', 'https://studenthealth.oregonstate.edu/wellness/safer-sex', 'https://studenthealth.oregonstate.edu/survivor-advocacy-resource-center/sexual-assault-resources', 'https://studenthealth.oregonstate.edu/survivor-advocacy-resource-center/sexual-assault-nurse-examiner-sane', 'https://studenthealth.oregonstate.edu/contraception']",FALSE,[],,,
58,Pennsylvania State University Penn State DuBois,PA,https://dubois.psu.edu/health-services,TRUE,['iud'],2,https://studentaffairs.psu.edu/health-wellness/medical-services/health-information-resources,"['https://dubois.psu.edu/health-services', 'LGBTQA + Support Services', 'HEALTH INFORMATION & RESOURCES']",TRUE,"['Sexual Assault', 'Sexual Harrassment', 'Sexual Assault Services', 'SEXUAL ASSAULT VICTIM & SURVIVOR SUPPORT']","['https://dubois.psu.edu/sexual-assault', 'http://www.psu.edu/dept/aaoffice/sexharass.htm', 'https://studentaffairs.psu.edu/health-wellness/medical-services/services/sexual-assault-services', 'https://studentaffairs.psu.edu/health-wellness/victim-survivor-support-advocacy']",TRUE,['https://www.womenshealth.gov/a-z-topics/emergency-contraception'],,,
59,Pennsylvania State University Penn State Erie Behrend College,PA,https://behrend.psu.edu/student-life/student-services/health,TRUE,"['depoprovera', 'depo-provera', 'iud']",3,https://behrend.psu.edu/student-life/student-services/health/health-services/contraceptive-and-pregnancy-services,"['https://behrend.psu.edu/student-life/student-services/health', 'Police Services parking regulations', 'contact Parking Services', 'Contraception Options']",TRUE,"[""Women's Health Services"", 'Sexual Assault', 'The Kinsey Institute for Research in Sex, Gender, and Reproduction', 'Minority College Experience and Women in Science and Engineering Programs', 'Sexual Assault Services', 'Contraception Options', 'Sexually Transmitted Diseases', ""Women's Health"", 'Guide for Sexual Assault Victims', 'Women in Business Day', 'Women in Engineering Day', 'Women in Technology Day', 'Services for Sexual Assaults', 'Policy AD12: Sexual Assault, Relationship and Domestic Violence, and Stalking']","['https://behrend.psu.edu/student-life/student-services/health/health-services/womens-health', 'https://behrend.psu.edu/student-life/student-services/health/sexual-assault', 'http://www.indiana.edu/~kinsey/index.html', 'https://behrend.psu.edu/research-outreach/outreach-initiatives/youth-education-outreach/minority-college-experience-and-women-in-science-and-engineering-programs', 'https://behrend.psu.edu/student-life/student-services/health/sexual-assault/services', 'https://behrend.psu.edu/student-life/student-services/health/health-services/contraceptive-and-pregnancy-services', 'https://behrend.psu.edu/student-life/student-services/health/health-services/sexually-transmitted-diseases', 'https://studentaffairs.psu.edu/health-wellness/medical-services/services/medical-services/womens-health', 'https://behrend.psu.edu/student-life/student-services/health/sexual-assault/guide-for-sexual-assault-victims', 'https://behrend.psu.edu/research-outreach/youth-education-outreach/women-business-day', 'https://behrend.psu.edu/research-outreach/youth-education-outreach/engineering-k-12-outreach-center/women-in-engineering-program', 'https://behrend.psu.edu/research-outreach/youth-education-outreach/women-technology-day', 'https://behrend.psu.edu/student-life/student-services/health/sexual-assault/services', 'https://policy.psu.edu/policies/ad85']",FALSE,[],,,
60,Purdue University Calumet Campus,IN,https://www.purdue.edu/push/,TRUE,['contracept devic'],1,https://www.purdue.edu/push/Medical/index.html,"['https://www.purdue.edu/push/', 'Medical Services']",FALSE,[],[],FALSE,[],,,
61,Radford University,VA,https://www.radford.edu/content/student-health/home.html,TRUE,"['depo-provera', 'iud']",2,http://brown.edu/Student_Services/Health_Services/Health_Education/sexual_health/,"['https://www.radford.edu/content/student-health/home.html', 'Resources', 'SEXUAL HEALTH EDUCATION']",TRUE,"['Substance Abuse/Sexual Assault', 'Sexual Health and Sexuality', 'SEXUAL HEALTH EDUCATION', 'EMERGENCY CONTRACEPTION', ""Women's Studies"", 'Sexual Assault/Substance Abuse', 'Sexual Violence', 'AlcoholEDU for College and Sexual Assault Prevention for Undergraduates']","['https://www.radford.edu/content/saves/home.html', 'https://www.radford.edu/content/student-health/home/resources.html#par_text_11', 'http://brown.edu/Student_Services/Health_Services/Health_Education/sexual_health/', 'http://ec.princeton.edu/', 'https://www.radford.edu/content/chbs/home/wstudies.html', 'http://www.radford.edu/sasae/', 'https://www.radford.edu/content/saves/home/sexual-violence.html', 'https://www.radford.edu/content/incoming/home/AlcoholEdu-Haven.html']",TRUE,"['https://www.plannedparenthood.org/', 'http://www.ashasexualhealth.org/', 'http://www.plannedparenthood.org/health-topics/sexuality-4323.htm', 'http://www.plannedparenthood.org/health-topics/birth-control-4211.htm']",,,
62,Ramapo College of New Jersey,NJ,https://www.ramapo.edu/health/,TRUE,['iud'],1,https://www.ramapo.edu/health/womens-clinic/,"['https://www.ramapo.edu/health/', 'Well Women’s Clinic']",TRUE,"['Well Women’s Clinic', 'Sexual Harassment Resources', 'Emergency Contraception']","['https://www.ramapo.edu/health/womens-clinic/', 'https://www.ramapo.edu/sexual-harassment-resources/', 'https://www.ramapo.edu/health/emergency-contraception/']",FALSE,[],,,
63,Rogers State University,OK,https://www.rsu.edu/campus-life/health-wellness/,TRUE,"['depo-provera', 'contracept inject', 'iud', 'intrauterin devic']",2,https://www.rsu.edu/s/selfhelp/BirthControl_SO.html,"['https://www.rsu.edu/campus-life/health-wellness/', 'RSU Online', 'Birth Control']",TRUE,"['Sexual Health', 'Birth Control', 'Sexual Assault']","['https://www.rsu.edu/s/selfhelp/SexualHealth_SO.html', 'https://www.rsu.edu/s/selfhelp/BirthControl_SO.html', 'https://www.rsu.edu/s/selfhelp/SexualAssault_SO.html']",FALSE,[],,,
64,Rowan University,NJ,https://sites.rowan.edu/wellness/health/index.html,TRUE,"['depo-provera', 'iud']",1,https://sites.rowan.edu/wellness/health/appointments/sexual-reproductive-health.html,"['https://sites.rowan.edu/wellness/health/index.html', 'FamCare']",FALSE,[],[],FALSE,[],,,
65,Rutgers University New Brunswick,NJ,http://health.rutgers.edu/,TRUE,"['intrauterin devic', 'iud']",3,http://health.rutgers.edu/medical-counseling-services/medical/sexual-health/,"['http://health.rutgers.edu/', 'Services & Costs', 'General Resources', 'Sexual Health']",TRUE,"['Sexual Health', 'HEALTH SERVICES-NEWARK\nWelcome to Your Health Services\nPhysical & Gynecological examination\nMedical & STD evaluation\nLaboratory\nNutritional counseling\nVaccination\nPharmacy', 'April is Sexual Assault Awareness Month', 'Title IX - Sexual Harrassment']","['http://health.rutgers.edu/medical-counseling-services/medical/sexual-health/', 'http://health.newark.rutgers.edu/our-services', 'http://health.newark.rutgers.edu/news/sexual-assault-awareness-month', 'https://deanofstudents.camden.rutgers.edu/interimstudentsexualpolicy']",FALSE,[],,,
66,Rutgers University Newark,NJ,http://health.newark.rutgers.edu/,TRUE,['iud'],1,http://health.newark.rutgers.edu/news,"['http://health.newark.rutgers.edu/', 'Rutgers Health News']",TRUE,['April is Sexual Assault Awareness Month'],['http://health.newark.rutgers.edu/news/sexual-assault-awareness-month'],FALSE,[],,,
67,Saint Cloud State University,MN,https://www.stcloudstate.edu/healthservices/,TRUE,"['depo provera', 'depo', 'provera']",1,https://www.stcloudstate.edu/healthservices/medical-clinic/default.aspx,"['https://www.stcloudstate.edu/healthservices/', 'Medical Clinic']",TRUE,['SEXUAL ASSAULT\nRESOURCES'],['https://www.stcloudstate.edu/womenscenter/victim/sexual-assault.aspx'],FALSE,[],,,
68,Salisbury University,MD,https://www.salisbury.edu/administration/student-affairs/student-health-services/index.aspx,TRUE,['depo-provera'],1,https://www.salisbury.edu/administration/student-affairs/student-health-services/health-links/index.aspx,"['https://www.salisbury.edu/administration/student-affairs/student-health-services/index.aspx', 'General Health Links']",FALSE,[],[],FALSE,[],,,
69,San Francisco State University,CA,https://health.sfsu.edu/,TRUE,"['depo-provera', 'intrauterin devic']",1,https://health.sfsu.edu/birth-control-and-sexual-health,"['https://health.sfsu.edu/', 'Birth Control and Sexual Health']",TRUE,['Birth Control and Sexual Health'],['https://health.sfsu.edu/birth-control-and-sexual-health'],TRUE,"['https://www.plannedparenthood.org/learn/womens-health', 'https://www.womenshealth.gov/', 'https://www.plannedparenthood.org/learn/birth-control', 'https://www.womenshealth.gov/files/documents/fact-sheet-lesbian-bisexual-health.pdf', 'http://www.ashasexualhealth.org/stdsstis/']",,,
70,Shippensburg University of Pennsylvania,PA,http://www.ship.edu/health_center/,TRUE,"['depo provera', 'depo', 'provera', 'iud']",1,http://www.ship.edu/health_center/etter_health_services/,"['http://www.ship.edu/health_center/', 'Health Center Services']",FALSE,[],[],FALSE,[],,,
71,Slippery Rock University of Pennsylvania,PA,https://www.sru.edu/offices/student-health-services,TRUE,"['depo provera', 'depo', 'provera']",0,https://www.sru.edu/offices/student-health-services,['https://www.sru.edu/offices/student-health-services'],FALSE,[],[],FALSE,[],,,
72,Sonoma State University,CA,http://www.sonoma.edu/SHC,TRUE,"['depo provera', 'depo', 'provera', 'inject contracept']",2,http://web.sonoma.edu/shc/services/womens-health.html,"['http://www.sonoma.edu/SHC', 'Health Center Services', ""Women's Health & Contraception""]",TRUE,"[""Women's Health & Contraception"", 'Sexual Assault']","['http://web.sonoma.edu/shc/services/womens-health.html', 'http://web.sonoma.edu/ps/sexual_assault.html']",FALSE,[],,,
73,Southeastern Louisiana University,LA,https://www.southeastern.edu/admin/health_ctr/,TRUE,"['depo', 'depo-provera']",1,https://www.southeastern.edu/admin/health_ctr/available_services/index.html,"['https://www.southeastern.edu/admin/health_ctr/', 'Available Services']",TRUE,['Pap Smears and Birth Control'],['https://www.southeastern.edu/admin/health_ctr/women/index.html'],FALSE,[],,,
74,Southern Connecticut State University,CT,https://www.southernct.edu/health-services/,TRUE,['depo-provera'],1,https://inside.southernct.edu/health-services/services,"['https://www.southernct.edu/health-services/', 'Services']",FALSE,[],[],FALSE,[],,,
75,Southern Illinois University Edwardsville,IL,http://www.siue.edu/healthservice/,TRUE,"['depo-provera', 'depo']",1,http://www.siue.edu/healthservice/clinic/index.shtml,"['http://www.siue.edu/healthservice/', 'Clinic']",FALSE,[],[],TRUE,['http://www.plannedparenthood.org/'],,,
76,Stony Brook University,NY,https://www.stonybrook.edu/commcms/studentaffairs/shs/,TRUE,['depo-provera'],2,https://www.stonybrook.edu/commcms/studentaffairs/shs/services/gyn_clinic.php,"['https://www.stonybrook.edu/commcms/studentaffairs/shs/', 'Services', 'GYN Clinic']",TRUE,"['I MAY HAVE BEEN SEXUALLY ASSAULTED', 'I WANT TO LEARN MORE ABOUT SEXUALLY TRANSMITTED INFECTIONS']","['https://studentaffairs.stonybrook.edu/cpo/sexual-violence/navigator.html', 'https://www.stonybrook.edu/commcms/studentaffairs/health-wellness/Sexually-Transmitted-Diseases.php']",FALSE,[],,,
77,SUNY College at Geneseo,NY,https://www.geneseo.edu/health,TRUE,['depo-provera'],2,https://www.geneseo.edu/health/contraceptive_options,"['https://www.geneseo.edu/health', 'Sexual Health Services', 'Contraceptive Options']",TRUE,"['Sexual Health Services', 'Sexual Health Concerns', 'Helpful Sexual Health Links', 'Sexually Transmitted Infections', 'Contraceptive Options', 'Sexual Assault - Focus on Education (S.A.F.E.)', 'Stand Up Sexual Assault Awareness', 'Sexual Abuse, Assault, Rape, and Other Trauma', 'Sexual Health', 'Sexual Assault Resources', 'Sexual Assault/Rape Resources', 'College Students & Sexual Health', 'Lesbian Sexual Health', 'Emergency Contraceptive Pill (ECP)', 'Health Needs of Gay and Bisexual Men']","['https://www.geneseo.edu/health/sexual_health_info', 'https://www.geneseo.edu/health/other_sexual_health', 'https://www.geneseo.edu/health/sexual_health_links', 'https://www.geneseo.edu/health/sti', 'https://www.geneseo.edu/health/contraceptive_options', 'http://geneseo.edu/health/sexual-assault', 'https://www.geneseo.edu/standup/SexualAssault', 'https://www.geneseo.edu/health/mental_health_issues#section6', 'https://www.geneseo.edu/health/sexualhealth_college', 'https://www.geneseo.edu/health/sexual-assault', 'https://www.geneseo.edu/health/emergency-info#section4', 'https://www.geneseo.edu/health/college_sexual_health', 'https://www.geneseo.edu/health/other_sexual_health#section5', 'https://www.geneseo.edu/health/other_sexual_health#section2', 'https://www.geneseo.edu/health/mens_health#section5']",TRUE,"['http://www.plannedparenthood.org/rochester-syracuse/safe-center-22749.htm', 'http://www.plannedparenthood.org/ppcwny/restore-42481.htm', 'https://www.plannedparenthood.org/planned-parenthood-central-western-new-york/restore', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/lesbian-bisexual-health.html', 'http://www.smartersex.org/', 'http://www.plannedparenthood.org/health/']",,,
78,SUNY College of Technology at Delhi,NY,https://www.delhi.edu/campus-life/health-counseling/,TRUE,['depo-provera'],1,https://www.delhi.edu/campus-life/health-counseling/womens-health/index.php,"['https://www.delhi.edu/campus-life/health-counseling/', ""Women's Health""]",TRUE,"[""Women's Health""]",['https://www.delhi.edu/campus-life/health-counseling/womens-health/index.php'],FALSE,[],,,
79,Tarleton State University,TX,http://www.tarleton.edu/healthservices/,TRUE,"['depo provera', 'depo', 'provera']",1,https://www.tarleton.edu/healthservices/womens.html,"['http://www.tarleton.edu/healthservices/', ""Women's Health""]",TRUE,"[""Women's Health""]",['https://www.tarleton.edu/healthservices/womens.html'],FALSE,[],,,
80,Temple University,PA,https://www.temple.edu/studenthealth/,TRUE,['depo-provera'],1,https://www.temple.edu/studenthealth/Gynecology_Birth_Control.html,"['https://www.temple.edu/studenthealth/', 'Birth Control Refill Hours']",TRUE,"['Women Organized Against Rape (WOAR) to provide 24/7 support', 'Birth Control Refill Hours', 'Sexually Transmited Disease Testing', 'Emergency Contraception', 'Sexual Assault']","['https://www.temple.edu/studenthealth/Gynecology_Sexual_Assault.html', 'https://www.temple.edu/studenthealth/Gynecology_Birth_Control.html', 'https://www.temple.edu/studenthealth/Sexually_Transmited_Disease_Testing.html', 'https://www.temple.edu/studenthealth/Gynecology_Emergency_Contraception.html', 'https://www.temple.edu/studenthealth/Gynecology_Sexual_Assault.html']",FALSE,[],,,
81,Texas State University,TX,https://www.healthcenter.txstate.edu/,TRUE,['provera'],1,https://www.healthcenter.txstate.edu/Round-Rock-Student-Health-Center.html,"['https://www.healthcenter.txstate.edu/', 'Student Health Center - Round Rock']",TRUE,"['Sexual Assault Resources', 'Sexual Misconduct (Title IX)']","['https://www.healthcenter.txstate.edu/AFTER-HOURS/sexual-assault-resources.html', 'http://www.txstate.edu/oea/Sexual-Misconduct--Title-IX-.html']",FALSE,[],,,
82,The University of Alabama,AL,https://shc.sa.ua.edu/,TRUE,['depo-provera'],2,https://shc.sa.ua.edu/womens-health/,"['https://shc.sa.ua.edu/', 'Clinic Services', 'Women’s Health']",TRUE,['Women’s Health'],['https://shc.sa.ua.edu/womens-health/'],FALSE,[],,,
83,The University of Montana,MT,http://www.umt.edu/curry-health-center/,TRUE,['depo'],2,http://www.umt.edu/curry-health-center/medical/Womens-Health.php,"['http://www.umt.edu/curry-health-center/', 'National College Health Assessment', 'Sexual Health']",TRUE,['Sexual Health'],['http://www.umt.edu/curry-health-center/medical/Womens-Health.php'],FALSE,[],,,
84,The University of Tennessee Martin,TN,http://www.utm.edu/departments/shcs/,TRUE,"['inject contracept', 'depo-provera']",1,http://www.utm.edu/departments/shcs/studenthealth.php,"['http://www.utm.edu/departments/shcs/', 'Health Services']",FALSE,[],[],FALSE,[],,,
85,The University of Texas at Arlington,TX,https://www.uta.edu/healthservices/,TRUE,"['intrauterin devic', 'iud', 'contracept implant']",2,https://www.uta.edu/healthservices/fees%20and%20services/womens-health.php,"['https://www.uta.edu/healthservices/', 'FEES AND SERVICES', ""Women's Health""]",TRUE,"['Report Sexual Misconduct', ""Women's Health"", 'Relationship Violence and Sexual Assault Prevention Program', 'TITLE IX: SEX DISCRIMINATION, HARASSMENT, AND ASSAULT']","['https://www.uta.edu/titleix/report/', 'https://www.uta.edu/healthservices/fees%20and%20services/womens-health.php', 'http://www.uta.edu/studentaffairs/rvsp/', 'https://www.uta.edu/titleix/index.php']",FALSE,[],,,
86,The University of Texas at Austin,TX,https://healthyhorns.utexas.edu/,TRUE,['depo-provera'],1,https://healthyhorns.utexas.edu/HT/index.html,"['https://healthyhorns.utexas.edu/', 'Health topics']",TRUE,"['Sexual assault forensic exams', ""Learn More About the Women's Health Clinic""]","['https://healthyhorns.utexas.edu/hs_uhssexualassaultforensicexams.html', 'https://healthyhorns.utexas.edu/womenshealth.html']",FALSE,[],,,
87,Towson University,MD,https://www.towson.edu/healthcenter/,TRUE,['depo-provera'],1,https://www.towson.edu/healthcenter/services.html,"['https://www.towson.edu/healthcenter/', 'Services']",FALSE,[],[],FALSE,[],,,
88,University of Akron Main Campus,OH,https://www.uakron.edu/healthservices/,TRUE,['depo-provera'],1,https://www.uakron.edu/healthservices/applicable-fees.dot,"['https://www.uakron.edu/healthservices/', 'Services and fees']",TRUE,"[""Well Women's Clinic fees and additional information""]",['https://www.uakron.edu/healthservices/well-womens-clinic.dot'],FALSE,[],,,
89,University of Alabama at Birmingham,AL,https://www.uab.edu/students/health/,TRUE,['iud'],1,https://www.uab.edu/students/health/health-services,"['https://www.uab.edu/students/health/', 'Clinic Services']",FALSE,[],[],FALSE,[],,,
90,University of Arizona,AZ,https://health.arizona.edu/home,TRUE,"['depo-provera', 'iud', 'depo']",2,https://health.arizona.edu/node/116,"['https://health.arizona.edu/home', 'SERVICES', ""Women's Health""]",TRUE,"[""Women's Health"", 'Sexual Health', 'Oasis Sexual Assault And Trauma Services']","['https://health.arizona.edu/node/116', 'https://health.arizona.edu/sexual-health', 'https://health.arizona.edu/oasis-sexual-assault-and-trauma-services']",FALSE,[],,,
91,University of Arkansas at Little Rock,AR,https://ualr.edu/health/,TRUE,"['depo provera', 'depo', 'provera']",2,https://ualr.edu/health/womens-health-2/,"['https://ualr.edu/health/', 'Women’s Health Services', 'Birth Control Methods']",TRUE,"['Women’s Health Services', 'Sexually Transmitted Infection Screening and Treatment', 'Birth Control Methods']","['https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/', 'https://ualr.edu/health/womens-health-2/']",FALSE,[],,,
92,University of California Berkeley,CA,https://uhs.berkeley.edu/home,TRUE,"['depo-provera', 'intrauterin devic']",1,https://uhs.berkeley.edu/medical/primary-care/womens-health,"['https://uhs.berkeley.edu/home', ""Women's* health""]",TRUE,"[""Women's* health""]",['https://uhs.berkeley.edu/medical/primary-care/womens-health'],TRUE,"['http://www.ashasexualhealth.org/stdsstis/chlamydia/', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/uterine-fibroids.html?from=AtoZ', 'http://www.ashasexualhealth.org/stdsstis/herpes/', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/menstruation.html', 'http://www.plannedparenthood.org/health-topics/stds-hiv-safer-sex/safer-sex-4263.htm', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/sexually-transmitted-infections.html#a']",,,
93,University of California Davis,CA,https://shcs.ucdavis.edu/,TRUE,"['depo-provera', 'intrauterin devic', 'iud']",1,https://shcs.ucdavis.edu/wellness/health-topics,"['https://shcs.ucdavis.edu/', 'Health Topics']",TRUE,"['SEXUAL HEALTH', 'BIRTH CONTROL', 'Sexually Transmitted Infections (STI) and HIV Testing']","['https://shcs.ucdavis.edu/wellness/sexual-health', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/services/sti-testing']",FALSE,[],,,
94,University of California Irvine,CA,https://shc.uci.edu/,TRUE,"['intrauterin devic', 'iud']",2,https://shc.uci.edu/services/specialty-care,"['https://shc.uci.edu/', 'Emergency Services', 'Specialty Care']",FALSE,[],[],FALSE,[],,,
95,University of California Merced,CA,https://health.ucmerced.edu/,TRUE,['iud'],2,https://health.ucmerced.edu/services/mens-health,"['https://health.ucmerced.edu/', 'SERVICES', ""Men's Health""]",TRUE,"[""Women's Health""]",['https://health.ucmerced.edu/services/womens-health'],TRUE,"['http://www.plannedparenthood.org/health-info/pregnancy', 'http://www.plannedparenthood.org/health-center/california/merced/95348/merced-health-center-2526-90130#!emergency-contraception', 'http://www.plannedparenthood.org/health-info/birth-control', 'http://www.womenshealth.gov/', 'http://www.ashasexualhealth.org/']",,,
96,University of California San Diego,CA,https://wellness.ucsd.edu/studenthealth/Pages/default.aspx,TRUE,['control shot'],2,https://wellness.ucsd.edu/studenthealth/resources/health-topics/birth-control/Pages/default.aspx,"['https://wellness.ucsd.edu/studenthealth/Pages/default.aspx', 'Flu Vaccine Clinics', 'Birth Control']",TRUE,"['Sexual Health Info Sessions', 'Sexual Assault & Prevention Center', ""Women's Center"", 'Birth Control', 'Safer Sex', 'Sexually Transmitted Infections', 'Sexual Health Info Session', 'CARE at the Sexual Assault Resource Center', ""Women's Pelvic Medicine Expands to Hillcrest"", 'Sexual Health', 'CARE AT THE SEXUAL ASSAULT RESOURCE CENTER', 'Emergency Contraception']","['https://wellness.ucsd.edu/studenthealth/services/Pages/sexual-health.aspx', 'https://students.ucsd.edu/sponsor/sarc/', 'http://maps.ucsd.edu/mapping/viewer/default.htm?mkey=1&lc=open&km=open&rc=closed&zoom=5&X=0.42&Y=0.52&layers=None&background=2&label=0&overlays=Bldg-649%251&selectedTab=1', 'https://wellness.ucsd.edu/studenthealth/resources/health-topics/birth-control/Pages/default.aspx', 'https://wellness.ucsd.edu/studenthealth/resources/health-topics/Pages/Safer-Sex.aspx', 'https://wellness.ucsd.edu/studenthealth/resources/health-topics/Pages/sexually-transmitted-infections.aspx', 'https://wellness.ucsd.edu/studenthealth/services/Pages/sexual-health.aspx', 'https://care.ucsd.edu/', 'https://health.ucsd.edu/specialties/obgyn/incontinence/Pages/default.aspx', 'https://wellness.ucsd.edu/healthpromotion/health-topics/sexual-health/Pages/default.aspx', 'http://care.ucsd.edu/', 'http://ec.princeton.edu/']",TRUE,"['http://www.bedsider.org/', 'http://www.plannedparenthood.org/']",,,
97,University of California Santa Cruz,CA,https://healthcenter.ucsc.edu/,TRUE,"['depo-provera', 'contracept inject']",3,https://healthcenter.ucsc.edu/information/index.html,"['https://healthcenter.ucsc.edu/', 'Self-Directed Testing for Sexually Transmitted Infections', 'STUDENT HEALTH CENTER', 'Health and Illness Information']",TRUE,"['Self-Directed Testing for Sexually Transmitted Infections', 'SEXUAL VIOLENCE PREVENTION & RESPONSE', 'Sexual Health', 'Sex, Drugs, & Rocky Road Event', 'Sexual health resources', 'Birth Control Patrol', 'Safer Sex & Contraceptives', 'Sex and Sexuality', 'Sexually Transmitted Infections']","['https://healthcenter.ucsc.edu/services/self-directed-sti-testing.html', 'https://safe.ucsc.edu/', 'https://shop.ucsc.edu/sexual-health/index.html', 'https://shop.ucsc.edu/news-events/news/sex-drugs-rocky-road.html', 'http://shop.ucsc.edu/sexual-health/resources.html', 'https://shop.ucsc.edu/sexual-health/bcp.html', 'https://shop.ucsc.edu/sexual-health/safer-sex.html', 'https://shop.ucsc.edu/sexual-health/sex-sexuality.html', 'https://shop.ucsc.edu/sexual-health/sti.html']",TRUE,"['https://www.plannedparenthood.org/learn/birth-control', 'https://www.plannedparenthood.org/learn/stds-hiv-safer-sex']",,,
98,University of Central Arkansas,AR,https://uca.edu/studenthealth/,TRUE,['iud'],1,https://uca.edu/studenthealth/womens-health-clinic-2/,"['https://uca.edu/studenthealth/', 'extra link2']",FALSE,[],[],FALSE,[],,,
99,University of Cincinnati Main Campus,OH,https://med.uc.edu/uhs,TRUE,"['depo-provera', 'inject contracept']",2,https://med.uc.edu/uhs/clinics/womenshealth,"['https://med.uc.edu/uhs', 'Health Clinics & Services', 'Women’s Health']",TRUE,['Women’s Health'],['https://med.uc.edu/uhs/clinics/womenshealth'],FALSE,[],,,
100,University of Colorado Boulder,CO,https://www.colorado.edu/healthcenter/,TRUE,['depo-provera'],1,https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health,"['https://www.colorado.edu/healthcenter/', 'Sexual and Reproductive Health']",TRUE,"['Sexual and Reproductive Health', 'STI Testing & Sexual Health Exams']","['https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health', 'https://www.colorado.edu/healthcenter/sti']",FALSE,[],,,
